Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712964141.11,0,0,37.8,1.0,2.0,2.0,21.423085937499998,36.35000122449157,996.9848020435709,136.30758064096648,472372.4
1712964146.14,0,0,30.2,1.0,1.8,1.8,21.273359375,36.5774617720077,996.9747297260443,136.39254594091454,475757.6
1712964151.1,0,0,28.2,1.0,1.8,1.8,20.9631640625,36.89008362383082,996.9788862190562,136.35748356541566,480361.8
1712964156.1,0,0,27.4,1.0,1.8,1.8,20.835,37.13439712994131,996.9769560537668,136.37376556856094,480495.4
1712964161.13,0,0,23.6,1.0,1.0,1.0,20.81640625,37.189440262449935,996.9733584575366,136.40411329711443,481181.0
1712964166.15,0,0,23.6,1.0,1.0,1.0,20.878437499999997,37.133907520126634,996.9869483960902,136.28947545064517,480359.4
1712964171.18,0,0,36.6,1.0,1.0,1.0,20.9445703125,36.96396440805362,996.9928257353647,136.2398969397667,477985.6
1712964176.1,0,0,35.2,1.0,1.0,1.0,21.02640625,36.85126615273636,996.9993233383797,136.18508696539166,479197.2
1712964181.12,0,0,27.2,1.0,1.2,1.2,21.139218749999998,36.68847310933474,996.9958463359608,136.21441695521034,477505.8
1712964186.1,0,0,31.0,1.0,1.2,1.2,21.241484375,36.50588558132349,997.0021694520401,136.16107897022016,477029.2
1712964191.13,0,0,29.0,1.0,2.0,2.0,21.3396484375,36.35492363230403,997.0168580710626,136.03717572892782,475279.6
1712964196.1,0,0,31.6,1.0,2.0,2.0,21.4182421875,36.15505458557013,997.0288242099305,135.93623843385882,477099.0
1712964201.12,0,0,28.6,2.0,2.4,3.0,21.474921875,36.03097394316052,997.0328760306551,135.90206062267268,475290.2
1712964206.1,0,0,33.2,2.0,2.4,3.0,21.540585937499998,35.877262679798264,997.0346723837225,135.8869080806665,474077.8
1712964211.13,0,0,33.2,2.2,3.2,4.0,21.6155078125,35.72925353792557,997.0374562028494,135.86342626915035,475281.2
1712964216.15,0,0,31.4,2.2,3.2,4.0,21.6737890625,35.56452560940558,997.0160038986899,136.04438087764575,473813.8
1712964221.13,0,0,31.8,3.0,4.0,5.0,21.7317578125,35.36122398638899,997.0122644691553,136.07592406260173,473155.4
1712964226.1,0,0,30.0,3.0,4.0,5.0,21.555039062499997,35.52982237157183,996.9995603506122,136.18308770195208,477039.4
1712964231.13,0,0,35.0,3.0,5.0,6.0,21.160625,36.113905166523786,997.000817889734,136.172479843729,483597.2
1712964236.1,0,0,36.6,3.0,5.0,6.0,20.9383203125,36.58164366729236,996.9837164615176,136.3167382137405,483183.2
1712964241.12,0,0,34.6,3.0,5.0,6.0,20.799726562500002,36.92857954696176,996.957808696399,136.53528548377895,485757.4
1712964246.1,0,0,33.8,3.0,5.0,6.0,20.710234375000002,37.221723630879026,996.9366923151478,136.71341788776186,484997.0
1712964251.1,0,0,35.6,3.0,5.0,6.0,20.710234375000002,37.221723630879026,996.9366923151478,136.71341788776186,484997.0
1712964256.1,0,0,36.6,3.0,5.0,6.0,20.678554687500004,37.45457857640357,996.9405322586545,136.68102484777077,483806.0
1712964261.11,0,0,36.6,3.0,4.0,5.0,20.6986328125,37.59901614025606,996.9567071756935,136.54457753766775,481183.8
1712964266.15,0,0,36.2,3.0,4.0,5.0,20.7287890625,37.67803014647025,996.9626468933277,136.49447189746652,483043.4
1712964271.14,0,0,36.2,3.0,4.2,4.4,20.719921875,37.728266109883656,996.9653946151778,136.47129307180032,484779.0
1712964276.1,0,0,35.0,3.0,4.2,4.4,20.636171875,37.811536889785756,996.9581313233477,136.53256371185756,487734.8
1712964281.13,0,0,31.0,3.0,5.0,5.6,20.5534375,37.96634954632378,996.9545920498776,136.56242007993143,488506.0
1712964286.1,0,0,34.4,3.0,5.0,5.6,20.3560546875,38.150376411003336,996.9802261711869,136.34618041759285,491923.4
1712964291.13,0,0,39.2,3.0,4.0,6.0,20.203984374999997,38.56109603160911,996.9884167977605,136.27708834889972,490219.8
1712964296.1,0,0,39.0,3.0,4.0,6.0,20.268281249999998,38.86281445128648,996.9991965078489,136.18615681530375,482358.8
1712964301.12,0,0,36.6,3.0,4.2,6.0,20.3815234375,38.92931442374778,997.0002975585736,136.1768690464508,479541.2
1712964306.11,0,0,35.4,3.0,4.2,6.0,20.52296875,38.8227055278645,996.9911824918188,136.25375843738843,481388.0
1712964311.14,0,0,37.4,3.0,5.0,6.0,20.671679687500003,38.61880579074438,996.9822286194888,136.32928867516983,479406.8
1712964316.12,0,0,37.4,3.0,5.0,6.0,20.8334375,38.52511830297817,996.9849207843114,136.30657890377432,475083.0
1712964321.14,0,0,36.4,3.0,5.0,6.0,20.9820703125,38.52575356989322,996.992448583074,136.24307841131215,473213.6
